info,to_margin,ypp_margin,yds_margin,result
Charlotte @ Florida International: 23-48,-1,1.28,180,1
North Texas @ Southern Mississippi: 27-45,-2,1.71,185,1
UMass @ Louisiana Tech: 21-69,1,5.31,342,1
Charlotte @ Western Kentucky: 14-30,-1,0.47,65,1
Southern Mississippi @ Louisiana Tech: 30-45,-2,1.56,39,1
Old Dominion @ UAB: 14-38,-1,3.42,285,1
Middle Tennessee @ North Texas: 30-33,2,0.95,74,1
Rice @ UT San Antonio: 27-31,-3,0.35,-8,1
UTEP @ Florida International: 17-32,-1,2.55,52,1
Western Kentucky @ Old Dominion: 20-3,-1,-2.09,-160,0
UMass @ Florida International: 0-44,-2,3.75,426,1
UT San Antonio @ UTEP: 26-16,0,-1.31,-86,0
Rice @ UAB: 20-35,-2,2.31,104,1
Gardner-Webb @ Charlotte: 28-49,2,2.65,289,1
Norfolk State @ Old Dominion: 21-24,-1,0.09,24,1
Abilene Christian @ North Texas: 31-51,0,1.56,119,1
Marshall @ Florida Atlantic: 36-31,0,-1.18,-41,0
Rhode Island @ Ohio: 20-41,1,1.87,91,1
Eastern Michigan @ Coastal Carolina: 30-23,3,-0.35,63,0
Robert Morris @ Buffalo: 10-38,0,1.77,114,1
Morgan State @ Bowling Green: 3-46,0,4.39,550,1
Albany @ Central Michigan: 21-38,2,1.51,285,1
Monmouth @ Western Michigan: 13-48,0,3.92,136,1
Illinois State @ Northern Illinois: 10-24,-1,1.75,151,1
Kennesaw State @ Kent State: 23-26,0,0.69,-100,1
Fordham @ Ball State: 29-57,0,3.21,270,1
Tennessee Tech @ Miami (OH): 17-48,-2,1.99,67,1
Miami (OH) @ Cincinnati: 13-35,0,1.82,213,1
Buffalo @ Liberty: 17-35,0,2.19,28,1
Murray State @ Toledo: 0-45,-2,3.83,201,1
Georgia State @ Western Michigan: 10-57,-3,5.59,358,1
Akron @ Central Michigan: 24-45,-1,3.76,209,1
BYU @ Toledo: 21-28,2,-1.17,-7,1
Buffalo @ Miami (OH): 20-34,-4,-2.14,-133,1
Central Michigan @ Western Michigan: 15-31,-2,2.03,71,1
Akron @ UMass: 29-37,-2,-0.11,27,1
Eastern Michigan @ Central Michigan: 16-42,1,4.34,304,1
Ohio @ Buffalo: 21-20,-1,0.56,37,0
Bowling Green @ Notre Dame: 0-52,-1,6.09,345,1
Ball State @ Northern Illinois: 27-20,1,1.61,119,0
Western Michigan @ Toledo: 24-31,1,1.08,55,1
Toledo @ Bowling Green: 7-20,-1,1.56,33,1
Miami (OH) @ Western Michigan: 16-38,-2,0.21,-55,1
Ball State @ Eastern Michigan: 29-23,2,-0.53,-89,0
New Mexico State @ Central Michigan: 28-42,-1,0.34,102,1
Kent State @ Akron: 26-3,1,-0.67,-85,0
Louisiana @ Ohio: 45-25,3,-0.59,-109,0
Troy @ Akron: 35-7,1,-0.27,-243,0
Bowling Green @ Kent State: 20-62,-2,4.06,390,1
Temple @ Buffalo: 22-38,-2,-0.08,-10,1
Northern Illinois @ Ohio: 39-36,-1,-0.65,-72,0
Kent State @ Ohio: 38-45,-1,1.28,95,1
Central Connecticut @ Eastern Michigan: 29-34,1,-0.58,27,1
Toledo @ Ball State: 14-52,-2,4.59,271,1
Central Michigan @ Bowling Green: 38-20,1,-1.97,-209,0
Toledo @ Colorado State: 41-35,1,-1.26,147,0
Northern Illinois @ Miami (OH): 24-27,0,0.89,-6,1
Buffalo @ Akron: 21-0,3,-0.64,-58,0
Western Michigan @ Eastern Michigan: 27-34,-1,0.94,188,1
Northern Colorado @ San José State: 18-35,-1,2.59,95,1
Colgate @ Air Force: 7-48,-1,3.81,303,1
New Mexico @ Notre Dame: 14-66,-4,4.25,228,1
Sam Houston State @ New Mexico: 31-39,-1,0.86,-73,1
Idaho @ Wyoming: 16-21,0,0.77,-16,1
Weber State @ Nevada: 13-19,2,2.41,316,1
San Diego State @ New Mexico State: 31-10,3,-0.45,-68,0
Portland State @ Boise State: 10-45,1,3.46,247,1
Weber State @ San Diego State: 0-6,0,0.24,84,1
Air Force @ Boise State: 19-30,-1,0.65,-2,1
Wyoming @ Tulsa: 21-24,0,-0.71,80,1
Southern Utah @ UNLV: 23-56,0,3.05,193,1
Sacramento State @ Fresno State: 20-34,1,1.59,226,1
Utah State @ San Diego State: 23-17,1,-0.6,-4,0
Central Arkansas @ Hawai'i: 16-35,3,2.97,78,1
